State,District,Incumbent,Party,2012 PVI,2012 Obama (%),2012 Romney (%),2016 Trump (%),2016 Clinton (%),2020 Trump (%),2020 Biden (%)
North Carolina,4,"Price, David E. ",D,D+17,71.43,27.41,27,68.0,32.2,66.6
North Carolina,5,"FOXX, VIRGINIA ",R,R+12,39.77,59.06,57,39.0,67.4,31.6
North Carolina,6,"COBLE, HOWARD ",R,R+11,41.34,57.65,56,41.0,37.2,61.6
North Carolina,7,"McIntyre, Mike ",D,R+11,39.86,59.24,57,39.0,58.1,40.7
North Carolina,8,"HUDSON, RICHARD ",R,R+12,41.00,58.06,56,41.0,52.5,46.1
North Carolina,9,"PITTENGER, ROBERT ",R,R+10,42.81,56.19,54,42.0,53.4,45.5
North Carolina,10,"MCHENRY, PATRICK T. ",R,R+11,40.89,58.0,60,36.0,67.7,31.2
North Carolina,11,"MEADOWS, MARK ",R,R+12,37.79,60.9,62,33.0,55.4,43.3
North Carolina,12,"Watt, Melvin L. ",D,D+23,78.54,20.79,28,68.0,28.5,70.1
North Carolina,13,"HOLDING, GEORGE ",R,R+9,43.53,55.45,53,44.0,67.1,31.8
North Dakota,1,"CRAMER, KEVIN ",R,R+10,38.7,58.32,62.96,27.23,65.11,31.76
Ohio,1,"CHABOT, STEVE ",R,R+6,46.26,52.4,51,45.0,50.9,47.7
Ohio,2,"WENSTRUP, BRAD R. ",R,R+9,43.66,54.75,56,40.0,55.6,42.9
Ohio,3,"Beatty, Joyce ",D,D+14,69.65,28.9,28,67.0,28.4,70
Ohio,4,"JORDAN, JIM ",R,R+9,42,55.98,64,31.0,67.1,31.2
Ohio,5,"LATTA, ROBERT E. ",R,R+8,44.1,53.88,59,34.0,61.6,36.7
Ohio,6,"JOHNSON, BILL ",R,R+5,42.67,55.2,69,27.0,72.2,26.5
Ohio,7,"GIBBS, BOB ",R,R+5,44.23,53.71,62,33.0,65.3,33.2
Ohio,8,"BOEHNER, JOHN A. ",R,R+14,36.45,61.9,65,30.0,66,32.5
Ohio,9,"Kaptur, Marcy ",D,D+15,67.55,30.87,37,59.0,39.7,58.8
Ohio,10,"TURNER, MICHAEL R. ",R,R+2,48.23,50.14,51,44.0,51.4,47
Ohio,11,"Fudge, Marcia L. ",D,D+30,82.74,16.55,17,81.0,19.2,79.8
Ohio,12,"TIBERI, PATRICK J. ",R,R+8,43.9,54.37,53,42.0,52.2,46.3
Ohio,13,"Ryan, Tim ",D,D+12,62.95,35.42,45,51.0,47.6,51
Ohio,14,"JOYCE, DAVID P. ",R,R+3,47.58,50.89,53,42.0,53.9,44.9
Ohio,15,"STIVERS, STEVE ",R,R+6,46.34,51.86,55,40.0,56.3,42.2
Ohio,16,"RENACCI, JAMES B. ",R,R+5,45.19,53.35,56,39.0,56.5,42.2
Oklahoma,1,"BRIDENSTINE, JIM ",R,R+16,34.2,65.8,61,33.0,60.11,37.31
Oklahoma,2,"MULLIN, MARKWAYNE ",R,R+14,32.2,67.8,73,23.0,76.10,22.15
Oklahoma,3,"LUCAS, FRANK D. ",R,R+24,26.1,73.9,74,21.0,74.58,23.15
Oklahoma,4,"COLE, TOM ",R,R+18,32.9,67.1,66,28.0,65.23,32.22
Oklahoma,5,"LANKFORD, JAMES ",R,R+13,40.8,59.22,53,40.0,51.56,45.95
Oregon,1,"Bonamici, Suzanne ",D,D+6,57.28,40.01,33,55.0,34.1,63.3
Oregon,2,"WALDEN, GREG ",R,R+10,40.46,56.83,55,35.0,55.6,42.1
Oregon,3,"Blumenauer, Earl ",D,D+21,72.03,24.68,22,68.0,23.5,74.3
Oregon,4,"DeFazio, Peter A. ",D,D+2,51.74,44.98,46,46.1,46.7,50.7
Oregon,5,"Schrader, Kurt ",D,EVEN,50.49,47.11,42,46.0,43.9,53.6
Pennsylvania,1,"Brady, Robert A. ",D,D+25,82.26,16.89,18,80.0,46.6,52.4
Pennsylvania,2,"Fattah, Chaka ",D,D+39,90.41,8.95,8,90.0,29.1,70.1
Pennsylvania,3,"KELLY, MIKE ",R,R+5,43.05,55.6,61,35.0,8.1,91.3
Pennsylvania,4,"PERRY, SCOTT ",R,R+9,41.51,57.07,59,37.0,37.4,61.5
Pennsylvania,5,"THOMPSON, GLENN ",R,R+6,41.35,56.95,62,34.0,34,65.1
Pennsylvania,6,"GERLACH, JIM ",R,R+1,48.12,50.57,48,48.0,41.9,56.9
Pennsylvania,7,"MEEHAN, PATRICK L. ",R,EVEN,48.53,50.36,47,49.0,47,51.8
Pennsylvania,8,"FITZPATRICK, MICHAEL G. ",R,D+1,49.35,49.42,48,48.0,51.7,47.3
Pennsylvania,9,"SHUSTER, BILL ",R,R+10,35.87,62.82,70,27.0,64.5,34.1
Pennsylvania,10,"MARINO, THOMAS A. ",R,R+12,38.46,60.11,66,30.0,50.7,47.8
Pennsylvania,11,"BARLETTA, LOU ",R,R+6,44.57,53.9,60,36.0,60.2,38.3
Pennsylvania,12,"ROTHFUS, KEITH J. ",R,R+6,40.94,57.81,59,38.0,67.3,31.2
Pennsylvania,13,"Schwartz, Allyson Y. ",D,D+12,66.17,32.91,32,65.0,71.6,27.2
Pennsylvania,14,"Doyle, Michael F. ",D,D+16,67.99,30.64,31,66.0,63.2,35.7
Pennsylvania,15,"DENT, CHARLES W. ",R,R+2,47.87,50.78,52,44.0,71.2,27.5
Pennsylvania,16,"PITTS, JOSEPH R. ",R,R+6,46.25,52.35,51,44.0,58.7,40
Pennsylvania,17,"Cartwright, Matthew A. ",D,D+4,55.38,43.26,53,43.0,48,50.7
Pennsylvania,18,"MURPHY, TIM ",R,R+6,40.99,57.95,58,39.0,34.4,64.5
Rhode Island,1,"Cicilline, David N. ",D,D+14,66.21,32.18,34.9,60.5,34.6,63.9
Rhode Island,2,"Langevin, James R. ",D,D+8,59.84,38.29,44.02,51.1,42.5,56
South Carolina,1,"SCOTT, TIM ",R,R+11,40.2,58.25,53,41.0,52.1,46.1
South Carolina,2,"WILSON, JOE ",R,R+15,39.43,59.14,57,38.0,54.9,43.6
South Carolina,3,"DUNCAN, JEFF ",R,R+16,33.95,64.55,67,29.0,68.1,30.5
South Carolina,4,"GOWDY, TREY ",R,R+15,36.2,62.17,60,34.0,59.3,38.9
South Carolina,5,"MULVANEY, MICK ",R,R+9,43.62,55.1,57,39.0,57.6,41
South Carolina,6,"Clyburn, James E. 'Jim' ",D,D+18,70.9,28.1,30,67.0,31.8,67
South Carolina,7,"RICE, TOM ",R,R+7,44.43,54.55,58,39.0,58.8,40.2
South Dakota,1,"NOEM, KRISTI L. ",R,R+9,39.87,57.89,61.53,31.74,61.77,35.61
Tennessee,1,"ROE, DAVID P. 'PHIL' ",R,R+21,30.9,67.3,76,20.0,76.2,22.1
Tennessee,2,"DUNCAN, JOHN J., JR. ",R,R+16,35.1,63.3,65,30.0,63.6,34.5
Tennessee,3,"FLEISCHMANN, CHARLES J. 'CHUCK ",R,R+12,33.1,65.3,61,38.0,65.3,32.9
Tennessee,4,"DESJARLAIS, SCOTT ",R,R+13,55.9,42.5,68,27.0,67.5,30.7
Tennessee,5,"Cooper, Jim ",D,D+5,29.5,69.1,38,56.0,36.7,60.3
Tennessee,6,"BLACK, DIANE ",R,R+15,32.9,65.7,72,24.0,72.7,25.6
Tennessee,7,"BLACKBURN, MARSHA ",R,R+13,32.8,66.1,67,28.0,66.9,31.3
Tennessee,8,"FINCHER, STEPHEN LEE ",R,R+15,78.3,20.9,66,31.0,65.4,33.2
Tennessee,9,"Cohen, Steve ",D,D+22,,,20,77.0,19.9,78.5
Texas,1,"GOHMERT, LOUIE ",R,R+21,27.5,71.5,72,25.0,71.6,27.2
Texas,2,"POE, TED ",R,R+16,35.56,63.95,52,43.0,50.9,48.6
Texas,3,"JOHNSON, SAM ",R,R+18,34.21,64.32,54,40.0,50.2,48.7
Texas,4,"HALL, RALPH M. ",R,R+21,24.8,74.0,75,22.0,74.4,24.4
Texas,5,"HENSARLING, JEB ",R,R+15,34.4,64.5,63,34.0,60.9,37.9
Texas,6,"BARTON, JOE L. ",R,R+13,40.8,57.9,54,42.0,50.8,47.8
Texas,7,"CULBERSON, JOHN ABNEY ",R,R+14,38.6,59.9,47,48.0,45.1,53.6
Texas,8,"BRADY, KEVIN ",R,R+26,21.75,77.0,72,24.0,70.6,28.1
Texas,9,"Green, Al ",D,D+21,78,21.0,18,79.0,23.3,75.7
Texas,10,"MCCAUL, MICHAEL T. ",R,R+11,38.8,59.12,52,43.0,50,48.4
Texas,11,"CONAWAY, K. MICHAEL 'MIKE' ",R,R+29,19.57,79.17,78,19.0,79.2,19.7
Texas,12,"GRANGER, KAY ",R,R+17,31.68,66.84,62,33.0,60.5,37.9
Texas,13,"THORNBERRY, MAC ",R,R+29,18.5,80.2,80,17.0,79.8,18.9
Texas,14,"WEBER, RANDY K., SR. ",R,R+8,39.5,59.34,58,38.0,59,39.6
Texas,15,"Hinojosa, Ruben ",D,D+1,57.44,41.55,40,56.0,48.5,50.4
Texas,16,"O'Rourke, Beto ",D,D+9,64.2,34.5,27,67.0,32,66.4
Texas,17,"FLORES, BILL ",R,R+12,37.7,60.4,56,38.0,54.6,43.6
Texas,18,"Jackson Lee, Sheila ",D,D+22,76.13,22.81,20,76.0,23,75.7
Texas,19,"NEUGEBAUER, RANDY ",R,R+26,25.0,73.6,72,23.0,72.2,26.3
Texas,20,"Castro, Joaquin ",D,D+3,58.9,39.7,34,60.0,34.7,63.7
Texas,21,"SMITH, LAMAR ",R,R+11,37.9,59.84,52,42.0,50.6,47.9
Texas,22,"OLSON, PETE ",R,R+15,36.7,62.13,52,44.0,50.8,48.9
Texas,23,"Gallego, Pete P. ",D,R+5,48.1,50.74,46,49.0,50.3,48.5
Texas,24,"MARCHANT, KENNY E. ",R,R+14,37.99,60.44,51,43.0,46.5,51.9
Texas,25,"WILLIAMS, ROGER ",R,R+10,37.8,59.9,55,40.0,54,44.4
Texas,26,"BURGESS, MICHAEL C. ",R,R+20,30.7,67.6,60,34.0,56.3,42.1
Texas,27,"FARENTHOLD, BLAKE ",R,R+13,38.19,60.53,60,36.0,61.2,37.5
Texas,28,"Cuellar, Henry ",D,D+2,60.3,38.7,38,58.0,47.2,51.6
Texas,29,"Green, Gene ",D,D+8,65.9,32.99,25,71.0,32.9,65.9
Texas,30,"Johnson, Eddie Bernice ",D,D+23,79.63,19.65,18,79.0,19.4,79.1
Texas,31,"CARTER, JOHN R. ",R,R+13,38.25,59.59,53,40.0,50.4,47.6
Texas,32,"SESSIONS, PETE ",R,R+10,41.48,57.0,47,48.0,44,54.4
Texas,33,"Veasey, Marc A. ",D,D+14,71.95,27.1,24,73.0,25.6,73
Texas,34,"Vela, Filemon ",D,D+3,60.8,38.33,38,59.0,47.5,51.5
Texas,35,"Doggett, Lloyd ",D,D+9,63,34.63,30,64.0,30.5,67.7
Texas,36,"STOCKMAN, STEVE ",R,R+20,25.7,73.15,72,25.0,71.9,26.9
Utah,1,"BISHOP, ROB ",R,R+25,20,78.0,49.7,22.4,64.2,31.6
Utah,2,"STEWART, CHRIS ",R,R+16,29,68.0,46.0,32.0,56.1,40.2
Utah,3,"CHAFFETZ, JASON ",R,R+25,20,79.0,47.2,23.3,60.3,35.2
Utah,4,"Matheson, Jim ",D,R+14,30,68.0,39.1,32.4,52.4,43.3
Vermont,1,"Welch, Peter ",D,D+13,66.57,30.97,29.76,55.72,30.67,66.09
Virginia,1,"WITTMAN, ROBERT J. 'ROB' ",R,R+8,45.6,53.1,53,41.0,51.4,47
Virginia,2,"RIGELL, E. SCOTT ",R,R+5,50.1,48.6,48,45.0,46.7,51.4
Virginia,3,"Scott, Robert C. 'Bobby' ",D,D+23,78.96,19.99,32,63.0,31.2,67.2
Virginia,4,"FORBES, J. RANDY ",R,R+6,48.77,50.14,37,58.0,36.8,61.8
Virginia,5,"HURT, ROBERT ",R,R+6,45.88,52.55,53,42.0,53.6,45.1
Virginia,6,"GOODLATTE, ROBERT W. 'BOB' ",R,R+12,39.46,58.84,59,35.0,59.8,38.6
Virginia,7,"CANTOR, ERIC I. ",R,R+11,41.72,56.94,50,44.0,48.7,49.8
Virginia,8,"Moran, James P. 'Jim', Jr. ",D,D+15,67.76,31.0,21,72.0,21.1,77.6
Virginia,9,"GRIFFITH, H. MORGAN ",R,R+11,34.9,63.08,68,27.0,70.4,28.4
Virginia,10,"WOLF, FRANK R. ",R,R+4,48.8,49.9,42,52.0,39.6,58.9
Virginia,11,"Connolly, Gerald E. 'Gerry' ",D,D+7,62.46,36.3,27,66.0,28.3,70.3
Washington,1,"DelBene, Suzan K. ",D,D+3,54.1,43.3,37.85,54.13,38,59
Washington,2,"Larsen, Rick ",D,D+8,59.2,38.0,34.82,56.92,35,62
Washington,3,"HERRERA BEUTLER, JAIME ",R,R+2,47.9,49.6,49.93,42.52,51,47
Washington,4,"HASTINGS, DOC ",R,R+14,37.9,59.7,57.92,35.06,58,39
Washington,5,"MCMORRIS RODGERS, CATHY ",R,R+6,43.7,53.5,52.17,39.14,53,44
Washington,6,"Kilmer, Derek ",D,D+5,56.1,41.2,39.48,51.83,39,57
Washington,7,"McDermott, Jim ",D,D+28,79.2,18.1,12.18,82.13,12,86
Washington,8,"REICHERT, DAVID G. ",R,R+2,49.7,48.1,44.67,47.72,45,51
Washington,9,"Smith, Adam ",D,D+15,68.3,29.6,23.34,70.47,24,73
Washington,10,"Heck, Denny ",D,D+4,56.3,41.1,39.9,51.25,41,56
West Virginia,1,"MCKINLEY, DAVID B. ",R,R+9,35.54,62.18,68,26.0,68,30.3
West Virginia,2,"CAPITO, SHELLEY MOORE ",R,R+8,37.97,60.0,66,29.0,65.4,32.8
West Virginia,3,"Rahall, Nick J., II ",D,R+6,32.79,65.0,73,23.0,73.1,25.5
Wisconsin,1,"RYAN, PAUL ",R,R+3,47.44,51.65,52,42.0,53.9,44.7
Wisconsin,2,"Pocan, Mark ",D,D+16,68.3,30.46,29,65.0,29.2,69.4
Wisconsin,3,"Kind, Ron ",D,D+6,54.82,43.82,49,44.0,51.5,46.8
Wisconsin,4,"Moore, Gwen ",D,D+21,75.33,23.78,22,73.0,22.6,76.2
Wisconsin,5,"SENSENBRENNER, F. JAMES, JR. ",R,R+12,37.75,61.31,57,37.0,56.8,41.7
Wisconsin,6,"PETRI, THOMAS E. ",R,R+5,45.77,53.1,55,38.0,56.8,41.6
Wisconsin,7,"DUFFY, SEAN P. ",R,EVEN,47.83,50.92,58,37.0,59.2,39.3
Wisconsin,8,"RIBBLE, REID J. ",R,R+2,47.56,51.26,57,37.0,57.2,41.3
Wyoming,1,"LUMMIS, CYNTHIA M. ",R,R+20,27.82,68.64,68.17,21.88,69.94,26.55
